,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
rt,90.460271283581,83.63950022490779,76.74736090592295,80.23153290665772,80.23153290665772,76.74736090592295,83.63950022490779,90.460271283581,76.40455166747519,74.5490352639489,93.0588277992588,74.13177852601804,93.0588277992588,84.47906711561083,100.0,87.97753708423154,82.99766989139266,95.37255186617253,86.11765559851757,96.72790004498155,100.0,83.15583453939496,76.40455166747519,93.0588277992588,90.18370013494467,87.54021458143603,92.68336207140476,92.68336207140476,59.328442507507816,92.68336207140476,100.0,82.53176636589998,85.18493734841294,85.18493734841294,89.65271141040722,88.2022758337376,88.2022758337376,88.2022758337376,83.63950022490779,90.18370013494467
slate,75.84401156437751,78.54340569959523,80.23153290665772,84.47906711561083,84.47906711561083,80.23153290665772,78.54340569959523,75.84401156437751,73.72114617304926,71.7573984977559,91.34283725407558,76.74736090592295,76.74736090592295,86.91160017992622,83.63950022490779,86.31182382406062,96.72790004498155,75.84401156437751,86.91160017992622,93.0588277992588,86.11765559851757,93.0588277992588,93.0588277992588,83.15583453939496,96.72790004498155,92.32624540163198,94.33255663046423,92.68336207140476,62.33530100583307,92.68336207140476,82.53176636589998,100.0,81.92923735624956,85.73724696291063,76.17875275875589,76.17875275875589,76.74736090592295,77.92847911309141,77.92847911309141,89.91471060908508
spectator,76.29138340031912,76.74736090592295,84.47906711561083,76.74736090592295,76.74736090592295,84.47906711561083,76.74736090592295,76.29138340031912,76.74736090592295,83.15583453939496,80.78076445356649,74.5490352639489,83.63950022490779,90.18370013494467,100.0,92.32624540163198,94.33255663046423,90.74510373234504,89.65271141040722,95.9925123614105,90.74510373234504,94.33255663046423,83.15583453939496,90.18370013494467,96.72790004498155,93.45580008996312,90.460271283581,90.18370013494467,62.33530100583307,87.54021458143603,85.18493734841294,81.92923735624956,100.0,76.86275933086262,85.73724696291063,89.39718432612673,79.69715371057988,79.69715371057988,79.04833747071848,80.92054256716199
townhall,83.63950022490779,80.23153290665772,76.74736090592295,100.0,100.0,76.74736090592295,80.23153290665772,83.63950022490779,76.74736090592295,90.18370013494467,83.63950022490779,100.0,100.0,86.91160017992622,95.37255186617253,78.54340569959523,93.0588277992588,82.37920247680829,85.36672414280952,100.0,96.72790004498155,94.33255663046423,93.0588277992588,81.34616021409988,92.68336207140476,86.11765559851757,93.0588277992588,91.34283725407558,62.33530100583307,91.65774923946745,85.18493734841294,85.73724696291063,76.86275933086262,100.0,86.50878626788017,82.68567450815114,96.72790004498155,93.0588277992588,90.460271283581,90.460271283581
truthdig,78.54340569959523,84.47906711561083,100.0,76.74736090592295,76.74736090592295,100.0,84.47906711561083,78.54340569959523,90.460271283581,76.40455166747519,61.701051948629946,73.72114617304926,83.63950022490779,76.74736090592295,93.45580008996312,95.9925123614105,90.460271283581,90.74510373234504,90.460271283581,89.65271141040722,93.0588277992588,82.99766989139266,89.39718432612673,93.0588277992588,83.15583453939496,82.68567450815114,96.72790004498155,97.68627593308626,71.380813850743,91.65774923946745,89.65271141040722,76.17875275875589,85.73724696291063,86.50878626788017,100.0,88.43137966543131,93.0588277992588,89.39718432612673,90.460271283581,81.4902074646901
usatoday,76.74736090592295,76.74736090592295,76.74736090592295,93.0588277992588,93.0588277992588,76.74736090592295,76.74736090592295,76.74736090592295,75.84401156437751,76.40455166747519,83.80393153160384,73.61948678444523,76.29138340031912,95.37255186617253,80.23153290665772,85.18493734841294,90.460271283581,92.32624540163198,86.11765559851757,86.91160017992622,95.9925123614105,87.32721136708753,93.0588277992588,81.34616021409988,90.18370013494467,91.98502472282102,90.18370013494467,93.0588277992588,59.99197082725847,91.65774923946745,88.2022758337376,76.17875275875589,89.39718432612673,82.68567450815114,88.43137966543131,100.0,59.328442507507816,88.66511326092844,93.45580008996312,96.72790004498155
vice,80.23153290665772,100.0,93.0588277992588,76.74736090592295,76.74736090592295,93.0588277992588,100.0,80.23153290665772,76.29138340031912,73.72114617304926,74.5490352639489,84.47906711561083,90.74510373234504,83.63950022490779,89.65271141040722,95.9925123614105,91.65774923946745,97.68627593308626,96.72790004498155,95.37255186617253,100.0,96.72790004498155,93.0588277992588,100.0,89.65271141040722,71.7573984977559,86.50878626788017,92.68336207140476,62.9804149293802,91.65774923946745,88.2022758337376,76.74736090592295,79.69715371057988,96.72790004498155,93.0588277992588,59.328442507507816,100.0,83.63950022490779,61.701051948629946,83.80393153160384
vox,84.47906711561083,76.74736090592295,76.74736090592295,85.18493734841294,85.18493734841294,76.74736090592295,76.74736090592295,84.47906711561083,83.63950022490779,76.74736090592295,71.7573984977559,93.0588277992588,79.04833747071848,95.37255186617253,86.50878626788017,89.65271141040722,83.63950022490779,96.72790004498155,86.11765559851757,76.74736090592295,89.65271141040722,89.39718432612673,84.47906711561083,89.39718432612673,90.18370013494467,93.45580008996312,96.72790004498155,92.68336207140476,60.32789641324954,89.91471060908508,88.2022758337376,77.92847911309141,79.69715371057988,93.0588277992588,89.39718432612673,88.66511326092844,83.63950022490779,100.0,86.11765559851757,90.460271283581
wapo,76.74736090592295,93.0588277992588,85.18493734841294,95.9925123614105,95.9925123614105,85.18493734841294,93.0588277992588,76.74736090592295,78.54340569959523,76.74736090592295,83.15583453939496,91.34283725407558,74.13177852601804,76.74736090592295,89.65271141040722,86.91160017992622,93.0588277992588,87.32721136708753,88.2022758337376,100.0,86.91160017992622,94.82635570520361,97.68627593308626,93.0588277992588,83.63950022490779,78.54340569959523,74.5490352639489,92.68336207140476,62.33530100583307,95.37255186617253,83.63950022490779,77.92847911309141,79.04833747071848,90.460271283581,90.460271283581,93.45580008996312,61.701051948629946,86.11765559851757,100.0,71.00912053632923
wsj,100.0,76.74736090592295,95.9925123614105,90.18370013494467,90.18370013494467,95.9925123614105,76.74736090592295,100.0,76.74736090592295,90.460271283581,90.18370013494467,80.78076445356649,76.74736090592295,93.0588277992588,89.65271141040722,95.37255186617253,90.460271283581,85.00535427466639,88.43137966543131,83.63950022490779,95.37255186617253,94.33255663046423,90.460271283581,93.0588277992588,83.63950022490779,93.45580008996312,96.72790004498155,92.68336207140476,72.13907281903028,91.34283725407558,90.18370013494467,89.91471060908508,80.92054256716199,90.460271283581,81.4902074646901,96.72790004498155,83.80393153160384,90.460271283581,71.00912053632923,100.0
